FID,geom,nid,kind,street,plz,city,description,created_at,url
MRN_mundraub_4326_Point.142,POINT (8.190686225891 49.202861785889),3496,Birne,Conrad-Rauh-Weg,76877,Offenbach an der Queich,ein Birnbaum linke Straßenseite wenn der Sportplatz rechts von einem liegt,2011-07-20 03:00:00,https://mundraub.org/node/3496
MRN_mundraub_4326_Point.143,POINT (8.236291408539 49.205128393618),77071,Bärlauch,Queichtalradweg,76879,Ottersheim bei Landau,links und rechts des Waldweges gibt es massig Bärlauch. Einfach der Nase nach  ),2018-07-15 13:19:00,https://mundraub.org/node/77071
MRN_mundraub_4326_Point.144,POINT (8.88066031675 49.208995005571),5441,Apfel,Hauweg,74889,Sinsheim,war lange nicht da aber vor 10 Jahren waren hier einige Apfelbäume einer davon jedes Jahr voll mit roten leuchtenden leckeren Äpfeln die am Ende des Herbst auf dem Boden lagen und verfaulten...,2012-06-24 16:30:00,https://mundraub.org/node/5441
MRN_mundraub_4326_Point.145,POINT (8.147746324539 49.209572353572),28087,Himbeere,Am Kugelfang,76879,Bornheim,Sträucher direkt am Weg nach der Brücke mit Himbeeren und Brombeeren.,2016-11-01 21:29:00,https://mundraub.org/node/28087
MRN_mundraub_4326_Point.146,POINT (8.367103077471 49.211024527159),100885,Walnuss,Berliner Straße,76726,Germersheim,hier stehen 2 Walnuss Bäume,2021-10-14 21:13:00,https://mundraub.org/node/100885
MRN_mundraub_4326_Point.147,POINT (8.367910757661 49.213257681008),100886,Hagebutte,Bellheimer Straße,76726,Germersheim,hier sind 3 Hagebuttensträucher allerdings direkt am Straßenrand,2021-10-14 21:15:00,https://mundraub.org/node/100886
MRN_mundraub_4326_Point.148,POINT (8.158507347107 49.213562011719),3406,Apfel,K 43,76879,Bornheim,ein Apfelbaum an dem Bahnstrecke an der Hornbachstraße zw. Bornhein und Dammheim.,2011-07-13 16:55:00,https://mundraub.org/node/3406
MRN_mundraub_4326_Point.149,POINT (8.383817367721 49.214849913288),73924,Apfel,Franz-von-Assisi-Brücke,76726,Germersheim,Am Rheinufer entlang  Richtung Sonderheim stehen einige Apfelbäume  und andere,2017-08-17 19:34:00,https://mundraub.org/node/73924
MRN_mundraub_4326_Point.150,POINT (8.365452177823 49.216217834202),100887,Quitte,Josef-Probst-Straße,76726,Germersheim,ein Quittenstrauch mit schönen großen Quitten,2021-10-14 21:16:00,https://mundraub.org/node/100887
MRN_mundraub_4326_Point.151,POINT (8.150396347046 49.235759735107),3021,Pflaume,L 513,76833,Knöringen,Pflaumen kann man ab August in der Nähe von Landau ernten. Es gibt 2 oder 4 Pflaumenbäume in der Nähe von der Erdölbohrung La155. Hinweise: Man sollte sich vielleicht etwas langes mitbringen um die Pflaumen erreichen zu können. Wegen des Erdöles NICHT RAUCHEN!!! Bild: Die Bäume befinden sich hinter der photogrphierten Erdölpumpe.,2010-10-24 12:07:00,https://mundraub.org/node/3021
MRN_mundraub_4326_Point.152,POINT (8.152318485081 49.236414022883),90115,Walnuss,L 513,76833,Landau-Land,Hier stehe ein Walnussbaum,2020-09-21 18:20:00,https://mundraub.org/node/90115
MRN_mundraub_4326_Point.153,POINT (8.344529271126 49.237320541506),17987,Andere Kräuter,B 9,67360,Lingenfeld,Hier wächst vereinzelt die Kleine Bibernelle am Wegrand. Aber bitte aufpassen und nur Erfahrene Sammler. Hier wächst nämlich auch der Gefleckte Schierling (tötlich giftig) und die Hundspetersilie (Sehr giftig),2015-05-27 11:49:00,https://mundraub.org/node/17987
MRN_mundraub_4326_Point.154,POINT (8.922079950571 49.237891458001),111867,Esskastanie,Am Hölzl,74889,Sinsheim,2 Maronenbäume,2022-10-15 09:35:00,https://mundraub.org/node/111867
MRN_mundraub_4326_Point.155,POINT (8.349979519844 49.239148852041),79840,Brombeere,K 31,67360,Lingenfeld,Fahrtrichtung Germersheim linke Seite,2018-10-08 17:42:00,https://mundraub.org/node/79840
MRN_mundraub_4326_Point.156,POINT (8.827171325684 49.241205948835),107974,Apfel,Unbekannt,74889,Sinsheim,Viele kleine Äpfel,2022-09-17 18:41:00,https://mundraub.org/node/107974
